country;date_pandemic_start;Country Code;population
Afghanistan;2020-03-16;AFG;38041754.0
Albania;2020-03-12;ALB;2854191.0
Algeria;2020-03-09;DZA;43053054.0
Andorra;2020-03-17;AND;77142.0
Angola;2020-04-18;AGO;31825295.0
Antigua and Barbuda;2020-04-11;ATG;97118.0
Argentina;2020-03-13;ARG;44938712.0
Armenia;2020-03-15;ARM;2957731.0
Australia;2020-02-29;AUS;25364307.0
Austria;2020-03-03;AUT;8877067.0
Azerbaijan;2020-03-15;AZE;10023318.0
Bahamas;2020-04-01;BHS;389482.0
Bahrain;2020-02-25;BHR;1641172.0
Bangladesh;2020-03-20;BGD;163046161.0
Barbados;2020-03-27;BRB;287025.0
Belarus;2020-03-13;BLR;9466856.0
Belgium;2020-03-04;BEL;11484055.0
Belize;2020-06-09;BLZ;390353.0
Benin;2020-04-05;BEN;11801151.0
Bhutan;2020-05-14;BTN;763092.0
Bolivia;2020-03-22;BOL;11513100.0
Bosnia and Herzegovina;2020-03-15;BIH;3301000.0
Botswana;2020-04-19;BWA;2303697.0
Brazil;2020-03-08;BRA;211049527.0
Brunei;2020-03-13;BRN;433285.0
Bulgaria;2020-03-13;BGR;6975761.0
Burkina Faso;2020-03-18;BFA;20321378.0
Burma;2020-04-02;MMR;54045420.0
Burundi;2020-05-17;BDI;11530580.0
Cabo Verde;2020-04-15;CPV;549935.0
Cambodia;2020-03-17;KHM;16486542.0
Cameroon;2020-03-20;CMR;25876380.0
Canada;2020-02-29;CAN;37589262.0
Central African Republic;2020-04-28;CAF;4745185.0
Chad;2020-04-13;TCD;15946876.0
Chile;2020-03-08;CHL;18952038.0
China;2020-01-22;CHN;1397715000.0
Colombia;2020-03-14;COL;50339443.0
Comoros;2020-05-20;COM;850886.0
Congo (Brazzaville);2020-04-02;COG;5380508.0
Congo (Kinshasa);2020-03-21;COD;86790567.0
Costa Rica;2020-03-12;CRI;5047561.0
Cote d'Ivoire;2020-03-23;CIV;25716544.0
Croatia;2020-03-13;HRV;4067500.0
Cuba;2020-03-21;CUB;11333483.0
Cyprus;2020-03-14;CYP;1198575.0
Czechia;2020-03-08;CZE;10669709.0
Denmark;2020-03-06;DNK;5818553.0
Diamond Princess;2020-02-07;;
Djibouti;2020-03-31;DJI;973560.0
Dominica;2020-08-24;DMA;71808.0
Dominican Republic;2020-03-17;DOM;10738958.0
Ecuador;2020-03-14;ECU;17373662.0
Egypt;2020-03-08;EGY;100388073.0
El Salvador;2020-03-29;SLV;6453553.0
