Country Name;name_JHU;Country Code;Population in 2019 (WB DB);sources of pop data (if not from World Bank DB)
Afghanistan;Afghanistan;AFG;38041754;
Albania;Albania;ALB;2854191;
Algeria;Algeria;DZA;43053054;
American Samoa;;ASM;55312;
Andorra;Andorra;AND;77142;
Angola;Angola;AGO;31825295;
Antigua and Barbuda;Antigua and Barbuda;ATG;97118;
Argentina;Argentina;ARG;44938712;
Armenia;Armenia;ARM;2957731;
Aruba;;ABW;106314;
Australia;Australia;AUS;25364307;
Austria;Austria;AUT;8877067;
Azerbaijan;Azerbaijan;AZE;10023318;
Bahamas, The;Bahamas;BHS;389482;
Bahrain;Bahrain;BHR;1641172;
Bangladesh;Bangladesh;BGD;163046161;
Barbados;Barbados;BRB;287025;
Belarus;Belarus;BLR;9466856;
Belgium;Belgium;BEL;11484055;
Belize;Belize;BLZ;390353;
Benin;Benin;BEN;11801151;
Bermuda;;BMU;63918;
Bhutan;Bhutan;BTN;763092;
Bolivia;Bolivia;BOL;11513100;
Bosnia and Herzegovina;Bosnia and Herzegovina;BIH;3301000;
Botswana;Botswana;BWA;2303697;
Brazil;Brazil;BRA;211049527;
British Virgin Islands;;VGB;30030;
Brunei Darussalam;Brunei;BRN;433285;
Bulgaria;Bulgaria;BGR;6975761;
Burkina Faso;Burkina Faso;BFA;20321378;
Burundi;Burundi;BDI;11530580;
Cabo Verde;Cabo Verde;CPV;549935;
Cambodia;Cambodia;KHM;16486542;
Cameroon;Cameroon;CMR;25876380;
Canada;Canada;CAN;37589262;
Cayman Islands;;CYM;64948;
Central African Republic;Central African Republic;CAF;4745185;
Chad;Chad;TCD;15946876;
Channel Islands;;CHI;172259;
Chile;Chile;CHL;18952038;
China;China;CHN;1397715000;
Colombia;Colombia;COL;50339443;
Comoros;Comoros;COM;850886;
Congo, Dem. Rep.;Congo (Kinshasa);COD;86790567;
Congo, Rep.;Congo (Brazzaville);COG;5380508;
Costa Rica;Costa Rica;CRI;5047561;
Cote d'Ivoire;Cote d'Ivoire;CIV;25716544;
Croatia;Croatia;HRV;4067500;
Cuba;Cuba;CUB;11333483;
Curacao;;CUW;157538;
Cyprus;Cyprus;CYP;1198575;
Czech Republic;Czechia;CZE;10669709;
